"%s: Halt channel %d\n"	,	L_116
PTR_ALIGN	,	F_113
"	 halt_status: %d\n"	,	L_85
USB_PORT_FEAT_C_RESET	,	V_464
hub	,	V_169
in_process	,	V_334
list_entry	,	F_129
dma	,	V_386
pipe_type	,	V_534
PCGCTL_ENBL_SLEEP_GATING	,	V_512
usb_hcd_check_unlink_urb	,	F_204
ENOMEM	,	V_406
HCINTMSK_NAK	,	V_181
"Internal DMA Mode\n"	,	L_11
hr	,	V_673
hs	,	V_483
hw	,	V_96
xfer_started	,	V_154
desc_list_addr	,	V_275
GNPTXFSIZ	,	V_112
srp_success	,	V_352
"SetPortFeature - USB_PORT_FEAT_SUSPEND\n"	,	L_170
context	,	V_164
lock	,	V_288
bandwidth_isoc_reqs	,	V_578
dwc2_init_fs_ls_pclk_sel	,	F_3
usb_hcd_unlink_urb_from_ep	,	F_178
op_mode	,	V_76
GHWCFG2_FS_PHY_TYPE_DEDICATED	,	V_24
GI2CCTL	,	V_47
list_for_each_entry_safe	,	F_64
"  Max packet size: %d\n"	,	L_259
"addr=%d, ep_num=%d, ep_dir=%1x, ep_type=%1x, mps=%d\n"	,	L_185
"Init: Power Port (%d)\n"	,	L_119
ep_type	,	V_151
params	,	V_9
"Channel enabled\n"	,	L_80
hcpriv	,	V_340
wkp_timer	,	V_635
"  HPRT0: 0x%08x\n"	,	L_165
"    hctsiz 0x%08x, hc_dma 0x%08x\n"	,	L_28
interval	,	V_523
dwc2_enable_common_interrupts	,	F_1
HCCHAR_DEVADDR_SHIFT	,	V_193
status	,	V_385
_dwc2_hcd_endpoint_reset	,	F_208
hfnum_7_samples	,	V_542
has_tt	,	V_651
USB_SPEED_FULL	,	V_603
"DMA not enabled\n"	,	L_77
non_periodic_sched_active	,	V_291
periodic_channels	,	V_306
list_add_tail	,	F_79
complete_split	,	V_186
tflags	,	V_607
HCD_HW_ACCESSIBLE	,	F_188
rsrc_len	,	V_655
hc_num	,	V_147
HPRT0_SPD_MASK	,	V_129
"No free channel to assign\n"	,	L_125
hfnum_0_frrem_accum_a	,	V_551
hfnum_0_frrem_accum_b	,	V_557
i2cctl	,	V_37
dwc2_allocate_bus_bandwidth	,	F_165
u16	,	T_3
"Hardware does not support descriptor DMA mode -\n"	,	L_114
HCFG_FSLSPCLKSEL_MASK	,	V_32
dwc2_hcd_start_xfer_ddma	,	F_132
TXSTS_FSPCAVAIL_MASK	,	V_235
dwc2_gahbcfg_init	,	F_12
usb_pipein	,	F_173
HPRT0_RES	,	V_438
urb	,	V_167
ClearPortFeature	,	V_456
"DWC OTG HCD FREE\n"	,	L_279
remaining_count	,	V_244
TXSTS_QSPCAVAIL_SHIFT	,	V_428
wf_otg	,	V_434
"control/bulk\n"	,	L_44
ec_mc	,	V_257
ggpio	,	V_36
frame_number	,	V_232
total_fifo_size	,	V_100
"%s: chdis set, channel %d, hcchar 0x%08x\n"	,	L_96
dwc2_urb	,	V_605
"Wrote %08lx to HCDMA(%d)\n"	,	L_95
wHubCharacteristics	,	V_477
hc_ptr_array	,	V_159
free_hc_list	,	V_302
qtd2	,	V_618
periodic_sched_inactive	,	V_292
USB_PORT_STAT_OVERCURRENT	,	V_498
usb_calc_bus_time	,	F_48
isoc_frame_index	,	V_384
"    hctsiz: 0x%08x\n"	,	L_204
size_t	,	T_6
"Connection id status change timed out\n"	,	L_143
iso_frame_desc	,	V_581
"  P Tx FIFO Space Avail (before queue): %d\n"	,	L_129
dwc2_hcd_is_status_changed	,	F_148
"Frame remaining at sample point B (uframe 7):\n"	,	L_232
pdev	,	V_637
urb_qtd	,	V_333
u32	,	T_1
uframe_sched	,	V_303
host	,	V_437
HAINTMSK	,	V_87
"	  hub addr %d\n"	,	L_69
GOTGCTL	,	V_350
"	  hub port %d\n"	,	L_70
GHWCFG2_OP_MODE_NO_SRP_CAPABLE_HOST	,	V_86
hub_addr	,	V_165
usb_remove_hcd	,	F_250
dwc2_hc_start_transfer	,	F_58
dwc2_hc_init_xfer	,	F_104
"can't set coherent DMA mask\n"	,	L_285
HCINTMSK_ACK	,	V_184
spin_lock_irqsave	,	F_68
usb_hcd_resume_root_hub	,	F_81
qtd_list	,	V_335
tt_buffer_dirty	,	V_429
_dwc2_hcd_clear_tt_buffer_complete	,	F_213
snpsid	,	V_119
dwc2_host_is_b_hnp_enabled	,	F_143
"ClearPortFeature USB_PORT_FEAT_ENABLE\n"	,	L_150
"  NP Tx Req Queue Space Avail: %d\n"	,	L_220
HFIR_FRINT_SHIFT	,	V_528
"Disconnect: PortPower off\n"	,	L_102
port_connect_status	,	V_312
qtd2_tmp	,	V_619
queuing_high_bandwidth	,	V_224
d32	,	V_368
HFNUM_FRREM_SHIFT	,	V_526
"HIGH"	,	L_254
dwc2_gusbcfg_init	,	F_13
hprt0	,	V_124
hcchar	,	V_143
dwc2_wakeup_detected	,	F_142
dwc2_hcd_get_pipe_type	,	F_105
GRXFSIZ	,	V_109
periodic_bitmaps	,	V_567
WARN_ON_ONCE	,	F_116
OTG_STATE_B_HOST	,	V_297
"    offset: %d, length %d\n"	,	L_265
"!!! halt_status = %d !!!\n"	,	L_74
USB_PORT_STAT_C_ENABLE	,	V_488
port_status	,	V_452
PIPE_INTERRUPT	,	V_584
"split\n"	,	L_89
HCSPLT_SPLTENA	,	V_265
"Frame remaining at sample point B (uframe 0):\n"	,	L_233
"  Channels:\n"	,	L_42
"	 IN xfer: hcchar = 0x%08x\n"	,	L_101
"%s: Channel %d\n"	,	L_57
HPTXFSIZ	,	V_117
"GetHubStatus\n"	,	L_162
HCTSIZ	,	F_27
HCCHAR_EPTYPE_MASK	,	V_201
"ping, no DMA\n"	,	L_87
dev_name	,	F_233
queue_delayed_work	,	F_75
bPwrOn2PwrGood	,	V_480
GAHBCFG_GLBL_INTR_EN	,	V_631
xact_pos	,	V_205
dev_warn	,	F_59
HCDMA	,	F_28
dwc2_hcd_cleanup_channels	,	F_77
TSIZ_PKTCNT_SHIFT	,	V_251
DEBUG	,	F_155
dwc2_hcd_is_b_host	,	F_32
"Not connected\n"	,	L_105
container_of	,	F_108
dwc2_hcd_get_mps	,	F_156
bytes	,	V_133
activate_stm_fs_transceiver	,	V_42
error4	,	V_670
SLAB_CACHE_DMA	,	V_661
frame_desc	,	V_372
error1	,	V_643
error3	,	V_657
error2	,	V_656
HCINTMSK_CHHLTD	,	V_173
ahbcfg	,	V_64
dwc2_restore_host_registers	,	F_252
non_periodic_qh_ptr	,	V_369
byte_count	,	V_245
dwc2_hc_do_ping	,	F_57
"  port_connect_status_change: %d\n"	,	L_179
iso_descs	,	V_383
USB_ENDPOINT_XFER_CONTROL	,	V_174
HPRT0_PWR	,	V_366
qh	,	V_142
"FS PHY selected at HS!\n"	,	L_8
"	 NTD: %d\n"	,	L_99
HPRT0_SPD_HIGH_SPEED	,	V_131
HFIR_RLDCTRL	,	V_360
"GetPortStatus wIndex=0x%04x flags=0x%08x\n"	,	L_163
"Frame remaining at sample point B (uframe 1-6):\n"	,	L_234
USB_PORT_STAT_TEST	,	V_505
GHWCFG2_HS_PHY_TYPE_ULPI	,	V_22
USB_PORT_STAT_LOW_SPEED	,	V_503
HCSPLT_PRTADDR_MASK	,	V_211
GDFIFOCFG	,	V_121
"HS UTMI+ PHY selected\n"	,	L_7
GHWCFG2_FS_PHY_TYPE_SHARED_ULPI	,	V_126
"%s(%p)\n"	,	L_110
remaining	,	V_522
rc	,	V_339
"%s: Reset failed, aborting"	,	L_3
qh_allocated	,	V_608
dwc2_hcd_urb_alloc	,	F_151
HPRT0_ENACHG	,	V_598
EINPROGRESS	,	V_614
"desc DMA disabled\n"	,	L_49
dwc2_hc_cleanup	,	F_45
"  NP Tx FIFO Space Avail: %d\n"	,	L_221
DWC2_HC_XFER_AHB_ERR	,	V_217
dwc2_hc_enable_dma_ints	,	F_40
dwc2_hc_write_packet	,	F_56
bitmap_size	,	V_565
error_count	,	V_410
usb_bus	,	V_573
gintmsk	,	V_424
dwc2_calculate_dynamic_fifo	,	F_16
halt_status	,	V_155
non_periodic_sched_inactive	,	V_290
intr	,	V_314
phy_utmi_width	,	V_58
sg	,	V_403
fifo_space	,	V_231
"HS ULPI PHY selected\n"	,	L_6
dwc2_hc_init_split	,	F_103
TSIZ_SCHINFO_MASK	,	V_274
dwc2_hcd_urb_set_iso_desc_params	,	F_200
C_HUB_OVER_CURRENT	,	V_455
HCSPLT_HUBADDR_SHIFT	,	V_208
"set GINTMSK to %08x\n"	,	L_55
"  NP Tx Req Queue Space Avail (before queue): %d\n"	,	L_131
controller	,	V_671
u8	,	T_2
"%s(%p,%p,%d)\n"	,	L_25
bDescLength	,	V_473
USB_PORT_FEAT_RESET	,	V_511
GHWCFG2_OP_MODE_NO_SRP_CAPABLE_DEVICE	,	V_85
usb_hub_descriptor	,	V_450
"## %s: qtd-&gt;urb is NULL ##\n"	,	L_236
"    hcintmsk: 0x%08x\n"	,	L_206
"Device Mode\n"	,	L_113
IS_ERR_OR_NULL	,	F_190
URB_SEND_ZERO_PACKET	,	V_613
buf	,	V_389
"ClearPortFeature USB_PORT_FEAT_C_CONNECTION\n"	,	L_154
_dwc2_hcd_get_frame_number	,	F_194
HCSPLT_XACTPOS_MASK	,	V_207
"	 halt_pending: %d\n"	,	L_83
dwc2_hc_driver	,	V_648
TSIZ_PKTCNT_MASK	,	V_262
USB_PORT_STAT_CONNECTION	,	V_494
tt	,	V_168
multi_count	,	V_239
usb_phy_set_suspend	,	F_191
schinfo	,	V_272
bus	,	V_574
DWC2_SPEED_PARAM_LOW	,	V_61
__iomem	,	T_4
host_channels	,	V_104
dwc2_is_device_mode	,	F_83
dest	,	V_132
wrapper_priv_data	,	V_560
USB_PORT_STAT_RESET	,	V_499
dwc2_hcd_get_frame_number	,	F_149
"	  xact pos %d\n"	,	L_68
dwc2_assign_and_init_hc	,	F_120
cpu_to_le16	,	F_146
port_reset_change	,	V_465
"    requests: %d\n"	,	L_201
hfnum_other_samples_a	,	V_552
HCINTMSK_FRMOVRUN	,	V_189
us	,	V_519
hfnum_other_samples_b	,	V_558
qtd	,	V_283
USB_PORT_FEAT_L1	,	V_457
"    hub_port: %d\n"	,	L_199
otg_cap	,	V_78
GUSBCFG_PHY_LP_CLK_SEL	,	V_127
GAHBCFG	,	V_65
retval	,	V_38
"  NP inactive sched:\n"	,	L_39
max_packet_count	,	V_255
HCCHAR_ODDFRM	,	V_238
dwc2_hcd_get_ep_num	,	F_124
"SetHubFeature\n"	,	L_168
port_l1_change	,	V_321
dwc2_hcd_endpoint_disable	,	F_94
"ClearPortFeature USB_PORT_FEAT_C_SUSPEND\n"	,	L_157
maxchild	,	V_569
desc	,	V_621
tx_status	,	V_422
dwc2_enable_global_interrupts	,	F_138
_dwc2_hcd_endpoint_disable	,	F_207
xfer_dma	,	V_157
GINTSTS_SESSREQINT	,	V_16
desc_list_dma	,	V_413
data_pid_start	,	V_153
hcfg	,	V_18
HCCHAR_LSPDDEV	,	V_199
hub_desc	,	V_451
speed	,	V_59
dwc2_hcd_start	,	F_73
"ClearPortFeature USB_PORT_FEAT_C_PORT_L1\n"	,	L_158
dev_err	,	F_8
URB_ALIGNED_TEMP_BUFFER	,	V_395
"  Select Transactions\n"	,	L_126
HPRT0_CONNSTS	,	V_317
cpu_to_le32	,	F_147
GUSBCFG_ULPI_EXT_VBUS_DRV	,	V_346
DWC2_CONTROL_STATUS	,	V_379
HCCHAR_CHDIS	,	V_220
DWC2_SPEED_PARAM_FULL	,	V_60
HCCHAR_MPS_SHIFT	,	V_202
dwc2_backup_host_registers	,	F_251
HCFG	,	V_31
"	 Dev Addr: %d\n"	,	L_58
"  ISO Desc %d:\n"	,	L_264
"DWC OTG HCD STOP\n"	,	L_103
GUSBCFG_ULPI_CLK_SUSP_M	,	V_63
transfer_dma	,	V_604
"desc DMA enabled\n"	,	L_50
HCFIFO	,	F_21
_dwc2_hcd_suspend	,	F_187
dbg_perio	,	F_37
usb_put_hcd	,	F_248
"ClearHubFeature request %1xh unknown\n"	,	L_149
GINTSTS_WKUPINT	,	V_14
GUSBCFG	,	V_39
"    xfer_started: %d\n"	,	L_33
"USB RESET function called\n"	,	L_241
flush_workqueue	,	F_221
DWC2_HC_PID_SETUP	,	V_278
hcd_priv	,	V_562
"Failed to create workqueue\n"	,	L_287
"hcfg=%08x\n"	,	L_282
frame_num_array	,	V_640
xfer_us	,	V_229
gfp_t	,	T_5
"no split\n"	,	L_90
hcsplt	,	V_144
"dma_mask not set, disabling DMA\n"	,	L_283
DWC2_HC_PID_MDATA	,	V_243
bDescriptorType	,	V_474
"Programming HC %d with split --&gt; %s\n"	,	L_64
dwc2_hcd_endpoint_reset	,	F_96
dev_info	,	F_136
usb_pipedevice	,	F_171
dwc2_hcd_remove	,	F_249
otg_set_host	,	F_245
"## %s: qtd is NULL ##\n"	,	L_235
"	 Is Low Speed: %d\n"	,	L_61
dctl	,	V_628
GINTSTS_PRTINT	,	V_89
DMA_TO_DEVICE	,	V_277
HPRT0_RST	,	V_298
"%s(%p,%p)\n"	,	L_123
GHWCFG2_OP_MODE_HNP_SRP_CAPABLE	,	V_77
val	,	V_19
otg	,	V_668
work	,	V_433
PIPE_ISOCHRONOUS	,	V_577
TSIZ_NTD_MASK	,	V_271
DCTL	,	V_633
no_queue_space	,	V_425
HCCHAR_MULTICNT_MASK	,	V_266
usb_device	,	V_623
"Disabling channel\n"	,	L_78
mps	,	V_533
DWC2_CORE_REV_3_00a	,	V_632
"gotgctl=%0x\n"	,	L_136
dwc2_fs_phy_init	,	F_6
"dwc2-gen-desc"	,	L_288
force	,	V_313
"    xfer_dma: %08lx\n"	,	L_36
HPRT0_SPD_SHIFT	,	V_130
dwc2_hcd_is_bandwidth_allocated	,	F_199
ENODEV	,	V_325
kfree	,	F_110
dwc2_hcd_get_dev_addr	,	F_123
"  port_suspend_change: %d\n"	,	L_182
bytes_in_fifo	,	V_230
dwc2_hcd_urb_get_actual_length	,	F_169
FIFOSIZE_DEPTH_MASK	,	V_114
requests	,	V_268
"Wrote %08x to HCCHAR(%d)\n"	,	L_98
dwc2_process_periodic_channels	,	F_133
out	,	V_620
dwc2_host_get_tt_info	,	F_162
split_order_list_entry	,	V_226
pipe_info	,	V_373
"set HAINTMSK to %08x\n"	,	L_54
"  non_periodic_channels: %d\n"	,	L_217
dwc2_dump_urb_info	,	F_195
rxfsiz	,	V_97
GUSBCFG_ULPI_UTMI_SEL	,	V_53
otg_port	,	V_442
bHubContrCurrent	,	V_481
"Called usb_hcd_giveback_urb()\n"	,	L_272
ulpi_fs_ls	,	V_25
i2c_enable	,	V_45
HC_STATE_HALT	,	V_592
dwc2_hc_start_transfer_ddma	,	F_60
"    xact_pos: %d\n"	,	L_200
HCFG_DESCDMA	,	V_363
dwc2_handle_hcd_intr	,	F_210
dwc2_hcd_urb_enqueue	,	F_86
"SetPortFeature\n"	,	L_169
dma_desc_fs_enable	,	V_506
ep_is_in	,	V_150
USB_PORT_FEAT_TEST	,	V_510
EINVAL	,	V_68
en_multiple_tx_fifo	,	V_118
dwc2_hc_set_even_odd_frame	,	F_47
OTG_STATE_B_PERIPHERAL	,	V_354
desc_gen_cache	,	V_658
self	,	V_162
udelay	,	F_101
dwc2_hs_phy_init	,	F_10
"new hptxfsiz=%08x\n"	,	L_24
dwc2_hc_init	,	F_42
fn_name	,	V_599
"isoc/intr\n"	,	L_79
dwc2_unmap_urb_for_dma	,	F_118
"Queue periodic transactions\n"	,	L_127
_dwc2_hcd_start	,	F_33
data	,	V_249
isoc_split_pos	,	V_370
"intr\n"	,	L_45
"    xfer_buf: %p\n"	,	L_35
FRAME_NUM_ARRAY_SIZE	,	V_641
"unable to create dwc2 hs isoc desc cache\n"	,	L_291
free_dev	,	V_649
bus_suspended	,	V_318
GINTSTS_HCHINT	,	V_90
dwc2_hc_enable_slave_ints	,	F_36
dfifocfg	,	V_106
"Clear Resume: HPRT0=%0x\n"	,	L_147
dwc2_hcd_dump_state	,	F_154
offset	,	V_387
data_toggle	,	V_343
resource	,	V_638
dwc2_dump_global_registers	,	F_158
GI2CCTL_I2CEN	,	V_50
dwc2_hcd_qtd_init	,	F_88
pipe_dir	,	V_535
dwc_tt	,	V_564
GHWCFG2_OP_MODE_NO_HNP_SRP_CAPABLE	,	V_84
desc_hsisoc_cache	,	V_662
hfnum_other_frrem_accum_a	,	V_553
TXSTS_FSPCAVAIL_SHIFT	,	V_236
"    URB Info:\n"	,	L_207
hfnum_other_frrem_accum_b	,	V_559
HPRT0_SUSP	,	V_443
ping_state	,	V_411
"QH=%p EO MISS fr=%04x=&gt;%04x (%+d)\n"	,	L_86
nptxfsiz	,	V_98
maxp	,	V_409
DWC2_L3	,	V_591
DWC2_L0	,	V_308
dwc2_host_start	,	F_30
DWC2_L2	,	V_597
DWC2_L1	,	V_320
NS_TO_US	,	F_49
URB_GIVEBACK_ASAP	,	V_331
dwc2_halt_status	,	V_212
TSIZ_SC_MC_PID_SHIFT	,	V_263
msecs_to_jiffies	,	F_76
packet_count	,	V_531
xfer_ns	,	V_228
TSIZ_NTD_SHIFT	,	V_270
hsotg	,	V_2
IRQF_SHARED	,	V_669
"ClearHubFeature %1xh\n"	,	L_148
spin_lock	,	F_206
dwc2_hcd_is_pipe_out	,	F_106
"HCD Free channel #%i, chan=%p\n"	,	L_280
USB_PORT_FEAT_ENABLE	,	V_458
bNbrPorts	,	V_476
list_head	,	V_279
irqreturn_t	,	T_7
bandwidth_int_reqs	,	V_579
ret_val	,	V_414
resource_size	,	F_235
USB_PORT_FEAT_C_SUSPEND	,	V_468
GAHBCFG_DMA_EN	,	V_73
HCINTMSK_XFERCOMPL	,	V_176
chan_tmp	,	V_367
TXSTS_QSPCAVAIL_MASK	,	V_222
dwc2_hcd_is_pipe_in	,	F_126
GOTGINT	,	V_5
